"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"OTU"
"Firmicutes:6"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:6"
"Bacteroides:2"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides:2"
"Clostridiales:9"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:9"
"Firmicutes:8"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:8"
"Faecalibacterium:2"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	"Faecalibacterium:2"
"Unclassified-Screened:4"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:4"
"Lachnospiraceae:30"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:30"
"Parabacteroides:1"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"Parabacteroides:1"
"Lachnospiraceae:31"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:31"
"Lactobacillales:2"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"NA"	"NA"	"Lactobacillales:2"
"Parabacteroides:2"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"Parabacteroides:2"
"Lachnospiraceae:32"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:32"
"Erysipelotrichaceae:2"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"NA"	"Erysipelotrichaceae:2"
"Lachnospiraceae:33"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:33"
"Clostridiales:11"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:11"
"Lachnospiraceae:35"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:35"
"Coprobacillus:3"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"	"Coprobacillus:3"
"Lactobacillales:3"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"NA"	"NA"	"Lactobacillales:3"
"Enterococcaceae:3"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"NA"	"Enterococcaceae:3"
"Enterococcaceae:4"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"NA"	"Enterococcaceae:4"
"Ruminococcaceae:3"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"NA"	"Ruminococcaceae:3"
"Bacteroidetes:1"	"Bacteria"	"Bacteroidetes"	"NA"	"NA"	"NA"	"NA"	"Bacteroidetes:1"
"Lachnospiraceae:37"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:37"
"Enterococcus:1"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"Enterococcus:1"
"Bacteroides:4"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides:4"
"Clostridiales:14"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:14"
"Faecalibacterium:3"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	"Faecalibacterium:3"
"Firmicutes:10"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:10"
"Parabacteroides:3"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"Parabacteroides:3"
"Lachnospiraceae:41"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:41"
"Unclassified-Screened:5"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:5"
"LachnospiraceaeIncertaeSedis:4"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"LachnospiraceaeIncertaeSedis"	"LachnospiraceaeIncertaeSedis:4"
"Lachnospiraceae:42"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:42"
"Clostridiales:15"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:15"
"Anaerostipes:1"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"Anaerostipes:1"
"Lachnospiraceae:43"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:43"
"Lachnospiraceae:44"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:44"
"Clostridiales:17"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:17"
"Lachnospiraceae:45"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:45"
"Anaerostipes:2"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"Anaerostipes:2"
"Bacteroides:6"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides:6"
"ErysipelotrichaceaeIncertaeSedis:1"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"ErysipelotrichaceaeIncertaeSedis"	"ErysipelotrichaceaeIncertaeSedis:1"
"Lachnospiraceae:50"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:50"
"Parabacteroides:4"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	"Parabacteroides:4"
"Firmicutes:13"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:13"
"Lachnospiraceae:51"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:51"
"Firmicutes:14"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:14"
"Firmicutes:15"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:15"
"Ruminococcaceae:5"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"NA"	"Ruminococcaceae:5"
"Unclassified-Screened:6"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:6"
"Unclassified-Screened:7"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:7"
"Bacilli:2"	"Bacteria"	"Firmicutes"	"Bacilli"	"NA"	"NA"	"NA"	"Bacilli:2"
"Unclassified-Screened:9"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:9"
"Firmicutes:16"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:16"
"Clostridiales:21"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:21"
"Prevotella:1"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella:1"
"Lachnospiraceae:52"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:52"
"Clostridiales:22"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:22"
"Lachnospiraceae:53"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:53"
"Clostridiales:23"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:23"
"RuminococcaceaeIncertaeSedis:2"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"RuminococcaceaeIncertaeSedis"	"RuminococcaceaeIncertaeSedis:2"
"Clostridiales:26"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:26"
"Firmicutes:17"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:17"
"Ruminococcaceae:8"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"NA"	"Ruminococcaceae:8"
"Clostridiales:27"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:27"
"Firmicutes:18"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:18"
"Firmicutes:19"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:19"
"Lachnospiraceae:55"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:55"
"Veillonellaceae:2"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Veillonellaceae"	"NA"	"Veillonellaceae:2"
"Clostridiales:28"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:28"
"Clostridiales:29"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:29"
"Clostridiales:30"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:30"
"Clostridiales:31"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:31"
"Firmicutes:20"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:20"
"Coprobacillus:4"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"	"Coprobacillus:4"
"Clostridiales:32"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:32"
"Firmicutes:21"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:21"
"Prevotellaceae:3"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Prevotellaceae"	"NA"	"Prevotellaceae:3"
"Lachnospiraceae:57"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:57"
"Unclassified-Screened:10"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:10"
"Coprobacillus:5"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"	"Coprobacillus:5"
"Clostridiales:34"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:34"
"Bacteroides:7"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides:7"
"Clostridiales:36"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:36"
"Unclassified-Screened:11"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:11"
"ErysipelotrichaceaeIncertaeSedis:2"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"ErysipelotrichaceaeIncertaeSedis"	"ErysipelotrichaceaeIncertaeSedis:2"
"Bacteroides:8"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides:8"
"Lachnospiraceae:58"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:58"
"Clostridiales:37"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:37"
"Lachnospiraceae:59"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:59"
"Prevotellaceae:4"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Prevotellaceae"	"NA"	"Prevotellaceae:4"
"Firmicutes:22"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:22"
"Veillonellaceae:4"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Veillonellaceae"	"NA"	"Veillonellaceae:4"
"Firmicutes:23"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:23"
"Clostridiales:38"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:38"
"Clostridiales:39"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:39"
"Firmicutes:24"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:24"
"Unclassified-Screened:14"	"Bacteria"	"NA"	"NA"	"NA"	"NA"	"NA"	"Unclassified-Screened:14"
"Firmicutes:25"	"Bacteria"	"Firmicutes"	"NA"	"NA"	"NA"	"NA"	"Firmicutes:25"
"Anaerofilum:1"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Anaerofilum"	"Anaerofilum:1"
"Lachnospiraceae:61"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:61"
"LachnospiraceaeIncertaeSedis:6"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"LachnospiraceaeIncertaeSedis"	"LachnospiraceaeIncertaeSedis:6"
"RuminococcaceaeIncertaeSedis:3"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"RuminococcaceaeIncertaeSedis"	"RuminococcaceaeIncertaeSedis:3"
"Clostridiales:41"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:41"
"Enterococcaceae:6"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"NA"	"Enterococcaceae:6"
"Ruminococcaceae:11"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"NA"	"Ruminococcaceae:11"
"Clostridiales:43"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:43"
"Lachnospiraceae:63"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:63"
"Veillonellaceae:5"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Veillonellaceae"	"NA"	"Veillonellaceae:5"
"Enterococcaceae:8"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"NA"	"Enterococcaceae:8"
"Ruminococcaceae:12"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"NA"	"Ruminococcaceae:12"
"Veillonellaceae:6"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Veillonellaceae"	"NA"	"Veillonellaceae:6"
"Lachnospiraceae:65"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:65"
"ErysipelotrichaceaeIncertaeSedis:3"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"ErysipelotrichaceaeIncertaeSedis"	"ErysipelotrichaceaeIncertaeSedis:3"
"Anaerostipes:4"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"Anaerostipes:4"
"Lachnospiraceae:66"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:66"
"Clostridiales:45"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:45"
"Lachnospiraceae:67"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:67"
"Lachnospiraceae:68"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:68"
"Clostridiales:46"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:46"
"Anaerostipes:5"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"Anaerostipes:5"
"Coprobacillus:6"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Coprobacillus"	"Coprobacillus:6"
"Anaerostipes:6"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"Anaerostipes:6"
"ErysipelotrichaceaeIncertaeSedis:4"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"ErysipelotrichaceaeIncertaeSedis"	"ErysipelotrichaceaeIncertaeSedis:4"
"Clostridia:3"	"Bacteria"	"Firmicutes"	"Clostridia"	"NA"	"NA"	"NA"	"Clostridia:3"
"Enterococcaceae:9"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"NA"	"Enterococcaceae:9"
"Ruminococcaceae:14"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"NA"	"Ruminococcaceae:14"
"Erysipelotrichaceae:3"	"Bacteria"	"Firmicutes"	"Erysipelotrichi"	"Erysipelotrichales"	"Erysipelotrichaceae"	"NA"	"Erysipelotrichaceae:3"
"Veillonellaceae:8"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Veillonellaceae"	"NA"	"Veillonellaceae:8"
"Clostridiales:50"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:50"
"Lachnospiraceae:70"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:70"
"Bacteroides:10"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides:10"
"LachnospiraceaeIncertaeSedis:7"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"LachnospiraceaeIncertaeSedis"	"LachnospiraceaeIncertaeSedis:7"
"Ruminococcaceae:16"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"NA"	"Ruminococcaceae:16"
"Lachnospiraceae:71"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:71"
"Clostridiales:52"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:52"
"RuminococcaceaeIncertaeSedis:4"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"RuminococcaceaeIncertaeSedis"	"RuminococcaceaeIncertaeSedis:4"
"Ruminococcaceae:17"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"NA"	"Ruminococcaceae:17"
"Anaerostipes:7"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"Anaerostipes:7"
"Lachnospiraceae:72"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"NA"	"Lachnospiraceae:72"
"Clostridiales:53"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"NA"	"Clostridiales:53"
