"mouseID"	"date"	"diet"	"relativeTime"	"status"
"PM9:20080107"	"PM9"	2008-01-07	"BK"	21	"1"
"PM9:20080108"	"PM9"	2008-01-08	"Western"	22	"1"
"PM9:20080114"	"PM9"	2008-01-14	"Western"	28	"1"
"PM9:20071211"	"PM9"	2007-12-11	"BK"	0	"1"
"PM9:20080121"	"PM9"	2008-01-21	"Western"	35	"1"
"PM9:20071217"	"PM9"	2007-12-17	"BK"	6	"1"
"PM9:20080128"	"PM9"	2008-01-28	"Western"	42	"1"
"PM9:20080204"	"PM9"	2008-02-04	"Western"	49	"1"
"PM9:20080211"	"PM9"	2008-02-11	"Western"	56	"1"
"PM9:20080218"	"PM9"	2008-02-18	"Western"	63	"1"
"PM9:20080225"	"PM9"	2008-02-25	"Western"	70	"1"
"PM9:20080303"	"PM9"	2008-03-03	"Western"	77	"1"
